Timestamp,Age,Gender ,Nationality,High_School_System,High_School_Grade,Economic_Status,Scholarship,Attendance,Failed_Courses,GPA,Grade,Rank,Extroversion,Calmness,Failure_Tolerance,Self_Confidence,Procrastination,Self_Motivation ,Peer_Pressure,Group_Study,Peer_Support,Teacher_Support,Teacher_Closeness,School_Belongingness,Teacher_Knowledge,Teacher_Self_Motivation,Teacher_Self_Confidence,Teacher_Openness,Fear_Of_Failure,Working_Hard,Pass_Course,Avoiding_Punishment,Rewards,University_System
3/30/2023 18:46,18-24 years old,Male,Egyptian,IGCSE,90%-100%,Medium,No,> 80%,0,3,B+,very good (جيد جدا),5,4,4,3,3,4,1,Yes,Yes,Yes,3,Yes,5,Yes,Yes,Yes,3,3,4,1,5,American system
3/30/2023 18:47,18-24 years old,Male,Egyptian ,Thanaweya Amma,80%-89%,Medium,No,> 60%,1,1.82,B+,very good (جيد جدا),5,4,5,5,3,4,1,No,Yes,Yes,4,Yes,4,Yes,Yes,Yes,3,4,2,1,1,German system
3/30/2023 18:54,18-24 years old,Male,Egyptian ,IGCSE,90%-100%,Medium,No,> 80%,None,2.9,C+,good (جيد ),4,4,1,3,5,4,5,Yes,No,No,3,No,3,No,Yes,No,5,4,4,3,3,American system
3/30/2023 18:56,18-24 years old,Female,Egyptian ,IGCSE,90%-100%,Medium,No,> 80%,0,1.55,A-,excellent (ممتاز),5,4,2,4,3,4,3,No,Yes,Yes,3,Yes,4,Yes,Yes,No,5,5,2,1,4,German system
3/30/2023 18:58,18-24 years old,Male,Egyptian,IGCSE,90%-100%,Medium,No,> 80%,0,1.43,A+,excellent (ممتاز),3,3,3,3,3,3,4,No,Yes,Yes,5,Yes,5,Yes,Yes,Yes,5,4,4,4,5,German system
3/30/2023 18:59,25-35 years old,Male,Egyptian ,IGCSE,90%-100%,Medium,No,> 80%,0,3.7,A+,excellent (ممتاز),4,5,5,5,4,5,3,No,No,No,3,No,4,No,Yes,No,1,5,2,1,1,British system 
3/30/2023 19:01,18-24 years old,Female,Egyptian ,French Baccalaureate,90%-100%,Medium,No,> 80%,0,1.58,A-,excellent (ممتاز),5,4,2,4,3,4,3,Yes,Yes,Yes,4,Yes,4,Yes,Yes,No,5,4,2,1,4,German system
3/30/2023 19:04,18-24 years old,Female,Egyptian ,Thanaweya Amma,90%-100%,Medium,No,> 80%,0,1.73,B+,very good (جيد جدا),4,4,2,4,4,4,2,No,Yes,Yes,3,Yes,4,Yes,Yes,No,4,4,3,1,3,German system
3/30/2023 19:08,25-35 years old,Male,Egyptian ,Thanaweya Amma,80%-89%,Medium,No,> 80%,1,2.2,B+,very good (جيد جدا),5,5,1,4,1,5,3,No,Yes,Yes,5,Yes,4,Yes,Yes,No,5,4,4,1,5,German system
3/30/2023 19:09,18-24 years old,Female,Egyptian,IGCSE,90%-100%,Medium,Yes,> 80%,0,0.99,A+,excellent (ممتاز),4,4,5,5,4,5,1,No,Yes,No,3,Yes,3,Yes,Yes,No,3,5,1,1,4,German system
3/30/2023 19:12,25-35 years old,Male,Egyptian ,Thanaweya Amma,80%-89%,Medium,No,> 80%,1,2.2,B+,very good (جيد جدا),5,5,1,4,1,5,3,No,Yes,Yes,5,Yes,3,Yes,Yes,No,5,3,5,1,5,German system
3/30/2023 19:15,18-24 years old,Female,Egyptian ,French Baccalaureat,90%-100%,Medium,No,> 80%,0,1.82,B+,very good (جيد جدا),4,4,2,4,3,4,2,Yes,Yes,Yes,3,Yes,4,Yes,Yes,No,4,4,3,1,2,German system
3/30/2023 19:17,18-24 years old,Male,Egyptian ,IGCSE,90%-100%,Medium,No,> 80%,3,2.75,B-,very good (جيد جدا),5,4,4,4,4,4,2,No,No,No,3,Yes,3,Yes,Yes,No,5,4,3,2,3,German system
